Name,Duration,Description,Comment,VideoLink,Category,Trainer,Status,Qualifications
JAVA FULL STACK WITH ANGULAR,4,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Dolorum nam eos neque non dicta, incidunt itaque id impedit nobis rem, placeat est saepe recusandae praesentium quod. Repellendus et adipisci consectetur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Fullstack,Abhilash,Enabled,B.Tech
DATA SCIENCE,4,"Perspiciatis dicta illo voluptates alias deserunt asperiores neque unde nobis atque deleniti, nihil dolorem odio doloremque molestias qui velit possimus sequi. Aut tempora fuga perferendis ut doloremque necessitatibus sequi sunt?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Analytics,Mark,Enabled,M.Tech
ARTIFICIAL INTELLIGENCE,4,"Rerum obcaecati laudantium earum exercitationem consequuntur aperiam ipsam possimus quis, odit, fugit veniam. Rerum quae eum minima. Eaque rerum incidunt perspiciatis repellendus inventore exercitationem dolore sint laborum, possimus quia aut?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Artificial Intelligence,Kelvin,Enabled,MBA
GRAPHIC DESIGN,4,"Iure architecto, asperiores, ratione nostrum tenetur reprehenderit maiores quasi nobis obcaecati iusto nulla tempora praesentium esse consequatur. Non error velit ducimus repudiandae asperiores. Impedit iusto explicabo voluptatibus eligendi facilis eius.",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Design,Joseph,Enabled,MCA
CYBER SECURITY,4,"Excepturi est quaerat voluptatum, reiciendis dolore asperiores libero modi. Id deleniti ex vel, corporis repellendus dolorem, molestias laudantium quibusdam suscipit quis error sunt amet eligendi quasi tempora asperiores! Blanditiis, porro!",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Security,Franklin,Enabled,B.Tech
DATA ANALYTICS,6,"Nam aperiam inventore vel corporis totam sed eaque veritatis praesentium officia officiis repellendus, quas perferendis modi, dolor vitae molestiae incidunt itaque fugit suscipit numquam provident cupiditate minima quod laboriosam! Pariatur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Analytics,Mark,Enabled,M.Tech
DIGITAL MARKETING,6,"Lorem ipsum dolor sit, amet consectetur adipisicing elit. Dolorum nam eos neque non dicta, incidunt itaque id impedit nobis rem, placeat est saepe recusandae praesentium quod. Repellendus et adipisci consectetur?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Marketing,Michel,Enabled,MBA
SOCIAL MEDIA MARKETING,6,"Perspiciatis dicta illo voluptates alias deserunt asperiores neque unde nobis atque deleniti, nihil dolorem odio doloremque molestias qui velit possimus sequi. Aut tempora fuga perferendis ut doloremque necessitatibus sequi sunt?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Marketing,Feint,Enabled,MCA
PROGRAMMING,6,"Rerum obcaecati laudantium earum exercitationem consequuntur aperiam ipsam possimus quis, odit, fugit veniam. Rerum quae eum minima. Eaque rerum incidunt perspiciatis repellendus inventore exercitationem dolore sint laborum, possimus quia aut?",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Programming,Koven,Enabled,MCA
FOREIGN LANGUAGE,10,"Iure architecto, asperiores, ratione nostrum tenetur reprehenderit maiores quasi nobis obcaecati iusto nulla tempora praesentium esse consequatur. Non error velit ducimus repudiandae asperiores. Impedit iusto explicabo voluptatibus eligendi facilis eius.",,https://www.youtube.com/watch?v=Qr4QMBUPxWo,Literature,Skylle,Enabled,B.Tech
